"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"7";"2218";"1";"147";"624";"1175";"0";"224";"20";"2260";"0";"0";"0"
"0";"0";"0.4";"1";"7";"1269";"0";"151";"198";"425";"0";"223";"12";"2278";"0";"0";"0"
"0";"0";"0.7";"1";"7";"867";"0";"148";"106";"193";"0";"221";"7";"2259";"0";"0";"0"
"0";"0";"1.0";"1";"7";"1413";"0";"146";"134";"475";"0";"282";"4";"2860";"0";"0";"0"
"0";"0";"1.3";"1";"7";"691";"1";"158";"29";"84";"0";"308";"3";"3119";"0";"0";"0"
"0";"0";"1.6";"1";"7";"1263";"0";"159";"133";"281";"0";"312";"2";"3152";"0";"0";"0"
"0";"0";"1.9";"1";"7";"1446";"1";"159";"152";"338";"0";"312";"2";"3158";"0";"0";"0"
"0";"0";"2.2";"1";"7";"747";"0";"151";"14";"68";"0";"235";"3";"2416";"0";"0";"0"
"0";"0";"2.5";"1";"7";"1172";"0";"153";"91";"204";"0";"235";"3";"2425";"0";"0";"0"
"0";"0";"2.8";"1";"7";"678";"0";"153";"8";"59";"0";"235";"3";"2434";"0";"0";"0"
"0";"0";"3.1";"1";"7";"1205";"1";"156";"44";"175";"0";"229";"3";"2383";"0";"0";"0"
"0";"0";"3.4";"1";"7";"1205";"0";"156";"44";"175";"0";"229";"3";"2392";"0";"0";"0"
"0";"0";"3.7";"1";"7";"1135";"0";"156";"44";"163";"0";"229";"3";"2401";"0";"0";"0"
"0";"0";"4.0";"1";"7";"1235";"1";"153";"61";"202";"0";"229";"3";"2410";"0";"0";"0"
"0";"0";"4.3";"1";"7";"804";"0";"154";"15";"76";"0";"235";"2";"2436";"0";"0";"0"
"0";"0";"4.6";"1";"7";"804";"0";"154";"15";"76";"0";"235";"2";"2442";"0";"0";"0"
"0";"0";"4.9";"1";"7";"804";"1";"154";"15";"76";"0";"235";"2";"2448";"0";"0";"0"
"0";"0";"5.2";"1";"7";"1426";"0";"151";"76";"208";"0";"237";"2";"2474";"0";"0";"0"
"0";"0";"5.5";"1";"7";"1426";"0";"151";"76";"208";"0";"237";"2";"2480";"0";"0";"0"
"0";"0";"5.8";"1";"7";"1426";"1";"151";"76";"208";"0";"237";"2";"2486";"0";"0";"0"
"0";"0";"6.1";"1";"7";"1269";"0";"151";"68";"182";"0";"237";"2";"2492";"0";"0";"0"
"0";"0";"6.4";"1";"7";"1269";"1";"151";"68";"182";"0";"237";"2";"2498";"0";"0";"0"
"0";"0";"6.7";"1";"7";"1269";"0";"151";"68";"182";"0";"237";"2";"2504";"0";"0";"0"
"0";"0";"7.0";"1";"7";"2023";"1";"150";"125";"358";"0";"237";"2";"2510";"0";"0";"0"
"0";"0";"7.3";"1";"7";"1244";"0";"151";"71";"181";"0";"237";"2";"2516";"0";"0";"0"
"0";"0";"7.6";"1";"7";"1244";"0";"151";"71";"181";"0";"237";"2";"2522";"0";"0";"0"
"0";"0";"7.9";"1";"7";"1244";"1";"151";"71";"181";"0";"237";"2";"2528";"0";"0";"0"
"0";"0";"8.2";"1";"7";"1029";"0";"151";"40";"117";"0";"237";"2";"2534";"0";"0";"0"
"0";"0";"8.5";"1";"7";"1029";"0";"151";"40";"117";"0";"237";"2";"2540";"0";"0";"0"
"0";"0";"8.8";"1";"7";"1029";"1";"151";"40";"117";"0";"237";"2";"2546";"0";"0";"0"
"0";"0";"9.1";"1";"7";"1021";"0";"150";"36";"123";"0";"237";"2";"2552";"0";"0";"0"
"0";"0";"9.4";"1";"7";"1021";"0";"150";"36";"123";"0";"237";"2";"2558";"0";"0";"0"
"0";"0";"9.7";"1";"7";"1021";"1";"150";"36";"123";"0";"237";"2";"2564";"0";"0";"0"
"0";"1";"dynamic";"1";"7";"1268";"0";"148";"46";"181";"0";"271";"0";"2710";"0";"0";"0"
"0";"1";"0.1";"1";"7";"3009";"2";"155";"851";"1617";"0";"227";"0";"2270";"0";"0";"0"
"0";"1";"0.4";"1";"7";"924";"0";"152";"109";"243";"0";"271";"0";"2710";"0";"0";"0"
"0";"1";"0.7";"1";"7";"1140";"1";"151";"157";"298";"0";"287";"0";"2870";"0";"0";"0"
"0";"1";"1.0";"1";"7";"1054";"0";"146";"78";"298";"0";"219";"0";"2190";"0";"0";"0"
"0";"1";"1.3";"1";"7";"689";"0";"142";"23";"78";"0";"222";"0";"2220";"0";"0";"0"
"0";"1";"1.6";"1";"7";"839";"0";"142";"49";"136";"0";"222";"0";"2220";"0";"0";"0"
"0";"1";"1.9";"1";"7";"785";"1";"142";"33";"112";"0";"222";"0";"2220";"0";"0";"0"
"0";"1";"2.2";"1";"7";"869";"0";"148";"22";"116";"0";"271";"0";"2710";"0";"0";"0"
"0";"1";"2.5";"1";"7";"869";"0";"148";"22";"116";"0";"271";"0";"2710";"0";"0";"0"
"0";"1";"2.8";"1";"7";"869";"0";"148";"22";"116";"0";"271";"0";"2710";"0";"0";"0"
"0";"1";"3.1";"1";"7";"995";"1";"148";"26";"118";"0";"250";"0";"2500";"0";"0";"0"
"0";"1";"3.4";"1";"7";"995";"0";"148";"26";"118";"0";"250";"0";"2500";"0";"0";"0"
"0";"1";"3.7";"1";"7";"897";"0";"148";"25";"102";"0";"250";"0";"2500";"0";"0";"0"
"0";"1";"4.0";"1";"7";"992";"0";"152";"40";"129";"0";"327";"0";"3270";"0";"0";"0"
"0";"1";"4.3";"1";"7";"766";"1";"154";"19";"80";"0";"327";"0";"3270";"0";"0";"0"
"0";"1";"4.6";"1";"7";"766";"0";"154";"19";"80";"0";"327";"0";"3270";"0";"0";"0"
"0";"1";"4.9";"1";"7";"766";"0";"154";"19";"80";"0";"327";"0";"3270";"0";"0";"0"
"0";"1";"5.2";"1";"7";"944";"0";"143";"30";"113";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"5.5";"1";"7";"944";"1";"143";"30";"113";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"5.8";"1";"7";"944";"0";"143";"30";"113";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"6.1";"1";"7";"1192";"0";"143";"66";"166";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"6.4";"1";"7";"1192";"0";"143";"66";"166";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"6.7";"1";"7";"1192";"0";"143";"66";"166";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"7.0";"1";"7";"941";"0";"143";"44";"113";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"7.3";"1";"7";"837";"0";"143";"31";"88";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"7.6";"1";"7";"837";"0";"143";"31";"88";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"7.9";"1";"7";"837";"1";"143";"31";"88";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"8.2";"1";"7";"1070";"0";"143";"55";"141";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"8.5";"1";"7";"1070";"0";"143";"55";"141";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"8.8";"1";"7";"1070";"0";"143";"55";"141";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"9.1";"1";"7";"1539";"1";"143";"107";"256";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"9.4";"1";"7";"1539";"0";"143";"107";"256";"0";"233";"0";"2330";"0";"0";"0"
"0";"1";"9.7";"1";"7";"1539";"1";"143";"107";"256";"0";"233";"0";"2330";"0";"0";"0"
"1";"0";"0.1";"1";"7";"3191";"2";"146";"874";"1726";"23";"224";"20";"2260";"0";"0";"0"
"1";"0";"0.4";"1";"7";"1281";"0";"148";"186";"420";"5";"223";"12";"2278";"0";"0";"0"
"1";"0";"0.7";"1";"7";"963";"1";"149";"108";"230";"10";"221";"7";"2259";"0";"0";"0"
"1";"0";"1.0";"1";"7";"1350";"0";"147";"109";"439";"4";"282";"4";"2860";"0";"0";"0"
"1";"0";"1.3";"1";"7";"1509";"1";"156";"153";"346";"26";"308";"3";"3119";"0";"0";"0"
"1";"0";"1.6";"1";"7";"897";"0";"159";"56";"139";"26";"312";"2";"3152";"0";"0";"0"
"1";"0";"1.9";"1";"7";"1178";"1";"159";"100";"227";"26";"312";"2";"3158";"0";"0";"0"
"1";"0";"2.2";"1";"7";"725";"0";"153";"24";"74";"35";"232";"2";"2364";"0";"0";"0"
"1";"0";"2.5";"1";"7";"686";"0";"153";"22";"61";"35";"232";"2";"2370";"0";"0";"0"
"1";"0";"2.8";"1";"7";"755";"0";"153";"27";"78";"35";"232";"2";"2376";"0";"0";"0"
"1";"0";"3.1";"1";"7";"748";"0";"154";"18";"73";"26";"232";"2";"2382";"0";"0";"0"
"1";"0";"3.4";"1";"7";"748";"0";"154";"18";"73";"26";"232";"2";"2388";"0";"0";"0"
"1";"0";"3.7";"1";"7";"832";"0";"154";"27";"96";"26";"232";"2";"2394";"0";"0";"0"
"1";"0";"4.0";"1";"7";"961";"0";"154";"32";"118";"26";"232";"2";"2400";"0";"0";"0"
"1";"0";"4.3";"1";"7";"942";"1";"153";"28";"103";"32";"232";"2";"2406";"0";"0";"0"
"1";"0";"4.6";"1";"7";"942";"0";"153";"28";"103";"32";"232";"2";"2412";"0";"0";"0"
"1";"0";"4.9";"1";"7";"942";"0";"153";"28";"103";"32";"232";"2";"2418";"0";"0";"0"
"1";"0";"5.2";"1";"7";"992";"0";"155";"48";"114";"50";"232";"2";"2424";"0";"0";"0"
"1";"0";"5.5";"1";"7";"992";"0";"155";"48";"114";"50";"232";"2";"2430";"0";"0";"0"
"1";"0";"5.8";"1";"7";"992";"0";"155";"48";"114";"50";"232";"2";"2436";"0";"0";"0"
"1";"0";"6.1";"1";"7";"1412";"1";"155";"65";"190";"49";"232";"2";"2442";"0";"0";"0"
"1";"0";"6.4";"1";"7";"1412";"0";"155";"65";"190";"49";"232";"2";"2448";"0";"0";"0"
"1";"0";"6.7";"1";"7";"1412";"0";"155";"65";"190";"49";"232";"2";"2454";"0";"0";"0"
"1";"0";"7.0";"1";"7";"1219";"0";"155";"56";"151";"47";"232";"2";"2460";"0";"0";"0"
"1";"0";"7.3";"1";"7";"922";"0";"156";"24";"76";"51";"232";"2";"2466";"0";"0";"0"
"1";"0";"7.6";"1";"7";"922";"0";"156";"24";"76";"51";"232";"2";"2472";"0";"0";"0"
"1";"0";"7.9";"1";"7";"922";"1";"156";"24";"76";"51";"232";"2";"2478";"0";"0";"0"
"1";"0";"8.2";"1";"7";"1137";"0";"156";"30";"108";"51";"232";"2";"2484";"0";"0";"0"
"1";"0";"8.5";"1";"7";"1137";"0";"156";"30";"108";"51";"232";"2";"2490";"0";"0";"0"
"1";"0";"8.8";"1";"7";"1137";"1";"156";"30";"108";"51";"232";"2";"2496";"0";"0";"0"
"1";"0";"9.1";"1";"7";"1066";"0";"156";"14";"110";"51";"232";"2";"2502";"0";"0";"0"
"1";"0";"9.4";"1";"7";"1066";"0";"156";"14";"110";"51";"232";"2";"2508";"0";"0";"0"
"1";"0";"9.7";"1";"7";"1066";"1";"156";"14";"110";"51";"232";"2";"2514";"0";"0";"0"
"1";"1";"dynamic";"1";"7";"1251";"0";"143";"68";"196";"12";"227";"0";"2270";"0";"0";"0"
"1";"1";"0.1";"1";"7";"2300";"1";"154";"583";"1169";"1";"227";"0";"2270";"0";"0";"0"
"1";"1";"0.4";"1";"7";"1350";"1";"152";"217";"457";"3";"271";"0";"2710";"0";"0";"0"
"1";"1";"0.7";"1";"7";"2163";"1";"158";"439";"726";"5";"229";"0";"2290";"0";"0";"0"
"1";"1";"1.0";"1";"7";"1877";"1";"152";"236";"680";"8";"291";"0";"2910";"0";"0";"0"
"1";"1";"1.3";"1";"7";"888";"0";"154";"34";"138";"8";"242";"0";"2420";"0";"0";"0"
"1";"1";"1.6";"1";"7";"939";"0";"149";"53";"147";"10";"239";"0";"2390";"0";"0";"0"
"1";"1";"1.9";"1";"7";"1406";"1";"146";"124";"301";"8";"233";"0";"2330";"0";"0";"0"
"1";"1";"2.2";"1";"7";"1036";"0";"144";"70";"180";"12";"227";"0";"2270";"0";"0";"0"
"1";"1";"2.5";"1";"7";"809";"0";"144";"20";"95";"12";"227";"0";"2270";"0";"0";"0"
"1";"1";"2.8";"1";"7";"797";"1";"144";"23";"96";"12";"227";"0";"2270";"0";"0";"0"
"1";"1";"3.1";"1";"7";"645";"0";"149";"9";"51";"8";"234";"0";"2340";"0";"0";"0"
"1";"1";"3.4";"1";"7";"645";"0";"149";"9";"51";"8";"234";"0";"2340";"0";"0";"0"
"1";"1";"3.7";"1";"7";"718";"0";"149";"15";"71";"8";"234";"0";"2340";"0";"0";"0"
"1";"1";"4.0";"1";"7";"1015";"0";"151";"47";"133";"14";"234";"0";"2340";"0";"0";"0"
"1";"1";"4.3";"1";"7";"1083";"1";"154";"33";"126";"15";"249";"0";"2490";"0";"0";"0"
"1";"1";"4.6";"1";"7";"1099";"0";"154";"45";"138";"14";"249";"0";"2490";"0";"0";"0"
"1";"1";"4.9";"1";"7";"1099";"0";"154";"45";"138";"14";"249";"0";"2490";"0";"0";"0"
"1";"1";"5.2";"1";"7";"1105";"0";"156";"47";"141";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"5.5";"1";"7";"1105";"0";"156";"47";"141";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"5.8";"1";"7";"1105";"0";"156";"47";"141";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"6.1";"1";"7";"1251";"0";"156";"44";"160";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"6.4";"1";"7";"1251";"1";"156";"44";"160";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"6.7";"1";"7";"1251";"0";"156";"44";"160";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"7.0";"1";"7";"961";"0";"156";"30";"102";"16";"258";"0";"2580";"0";"0";"0"
"1";"1";"7.3";"1";"7";"1042";"0";"156";"47";"126";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"7.6";"1";"7";"1042";"0";"156";"47";"126";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"7.9";"1";"7";"1042";"0";"156";"47";"126";"17";"258";"0";"2580";"0";"0";"0"
"1";"1";"8.2";"1";"7";"1256";"0";"156";"58";"167";"16";"258";"0";"2580";"0";"0";"0"
"1";"1";"8.5";"1";"7";"1256";"1";"156";"58";"167";"16";"258";"0";"2580";"0";"0";"0"
"1";"1";"8.8";"1";"7";"1256";"0";"156";"58";"167";"16";"258";"0";"2580";"0";"0";"0"
"1";"1";"9.1";"1";"7";"1059";"0";"155";"49";"134";"13";"258";"0";"2580";"0";"0";"0"
"1";"1";"9.4";"1";"7";"1059";"1";"155";"49";"134";"13";"258";"0";"2580";"0";"0";"0"
"1";"1";"9.7";"1";"7";"1059";"0";"155";"49";"134";"13";"258";"0";"2580";"0";"0";"0"
"0";"0";"0.1";"2";"7";"2931";"1";"150";"560";"1070";"0";"244";"69";"2509";"0";"0";"0"
"0";"0";"0.4";"2";"7";"1721";"0";"148";"229";"469";"0";"284";"8";"2872";"0";"0";"0"
"0";"0";"0.7";"2";"7";"1234";"1";"151";"137";"260";"0";"223";"8";"2286";"0";"0";"0"
"0";"0";"1.0";"2";"7";"1249";"0";"148";"70";"247";"0";"231";"2";"2330";"0";"0";"0"
"0";"0";"1.3";"2";"7";"1197";"1";"160";"108";"207";"0";"293";"5";"2995";"0";"0";"0"
"0";"0";"1.6";"2";"7";"815";"0";"147";"40";"99";"0";"223";"8";"2358";"0";"0";"0"
"0";"0";"1.9";"2";"7";"815";"0";"147";"40";"99";"0";"223";"8";"2382";"0";"0";"0"
"0";"0";"2.2";"2";"7";"1249";"0";"160";"105";"179";"0";"230";"1";"2322";"0";"0";"0"
"0";"0";"2.5";"2";"7";"1578";"1";"160";"146";"267";"0";"230";"1";"2325";"0";"0";"0"
"0";"0";"2.8";"2";"7";"1292";"0";"160";"94";"187";"0";"230";"1";"2328";"0";"0";"0"
"0";"0";"3.1";"2";"7";"671";"1";"149";"16";"45";"0";"208";"1";"2111";"0";"0";"0"
"0";"0";"3.4";"2";"7";"671";"0";"149";"16";"45";"0";"208";"1";"2114";"0";"0";"0"
"0";"0";"3.7";"2";"7";"671";"0";"150";"16";"45";"0";"208";"1";"2117";"0";"0";"0"
"0";"0";"4.0";"2";"7";"855";"0";"150";"17";"61";"0";"208";"1";"2120";"0";"0";"0"
"0";"0";"4.3";"2";"7";"676";"0";"151";"11";"41";"0";"208";"1";"2123";"0";"0";"0"
"0";"0";"4.6";"2";"7";"676";"0";"151";"11";"41";"0";"208";"1";"2126";"0";"0";"0"
"0";"0";"4.9";"2";"7";"676";"0";"151";"11";"41";"0";"208";"1";"2129";"0";"0";"0"
"0";"0";"5.2";"2";"7";"1105";"0";"151";"53";"115";"0";"208";"1";"2132";"0";"0";"0"
"0";"0";"5.5";"2";"7";"1105";"0";"151";"53";"115";"0";"208";"1";"2135";"0";"0";"0"
"0";"0";"5.8";"2";"7";"1105";"1";"151";"53";"115";"0";"208";"1";"2138";"0";"0";"0"
"0";"0";"6.1";"2";"7";"1203";"0";"149";"42";"136";"0";"208";"1";"2141";"0";"0";"0"
"0";"0";"6.4";"2";"7";"1203";"0";"149";"42";"136";"0";"208";"1";"2144";"0";"0";"0"
"0";"0";"6.7";"2";"7";"1203";"1";"149";"42";"136";"0";"208";"1";"2147";"0";"0";"0"
"0";"0";"7.0";"2";"7";"1097";"0";"151";"45";"113";"0";"208";"1";"2150";"0";"0";"0"
"0";"0";"7.3";"2";"7";"1559";"0";"150";"78";"188";"0";"208";"1";"2153";"0";"0";"0"
"0";"0";"7.6";"2";"7";"1559";"1";"150";"78";"188";"0";"208";"1";"2156";"0";"0";"0"
"0";"0";"7.9";"2";"7";"1559";"0";"150";"78";"188";"0";"208";"1";"2159";"0";"0";"0"
"0";"0";"8.2";"2";"7";"1019";"0";"151";"31";"98";"0";"208";"1";"2162";"0";"0";"0"
"0";"0";"8.5";"2";"7";"1019";"0";"151";"31";"98";"0";"208";"1";"2165";"0";"0";"0"
"0";"0";"8.8";"2";"7";"1019";"0";"151";"31";"98";"0";"208";"1";"2168";"0";"0";"0"
"0";"0";"9.1";"2";"7";"843";"0";"150";"17";"58";"0";"208";"1";"2171";"0";"0";"0"
"0";"0";"9.4";"2";"7";"843";"1";"150";"17";"58";"0";"208";"1";"2174";"0";"0";"0"
"0";"0";"9.7";"2";"7";"843";"0";"150";"17";"58";"0";"208";"1";"2177";"0";"0";"0"
"0";"1";"dynamic";"2";"7";"855";"0";"155";"51";"98";"0";"230";"0";"2300";"0";"0";"0"
"0";"1";"0.1";"2";"7";"4664";"2";"147";"1228";"2005";"0";"244";"0";"2440";"0";"0";"0"
"0";"1";"0.4";"2";"7";"1667";"1";"148";"234";"463";"0";"284";"0";"2840";"0";"0";"0"
"0";"1";"0.7";"2";"7";"1049";"0";"146";"107";"203";"0";"223";"0";"2230";"0";"0";"0"
"0";"1";"1.0";"2";"7";"1553";"0";"147";"100";"322";"0";"231";"0";"2310";"0";"0";"0"
"0";"1";"1.3";"2";"7";"1046";"1";"156";"81";"159";"0";"293";"0";"2930";"0";"0";"0"
"0";"1";"1.6";"2";"7";"2081";"0";"141";"219";"422";"0";"223";"0";"2230";"0";"0";"0"
"0";"1";"1.9";"2";"7";"1387";"1";"141";"108";"244";"0";"223";"0";"2230";"0";"0";"0"
"0";"1";"2.2";"2";"7";"855";"0";"155";"51";"98";"0";"230";"0";"2300";"0";"0";"0"
"0";"1";"2.5";"2";"7";"1154";"0";"155";"84";"178";"0";"230";"0";"2300";"0";"0";"0"
"0";"1";"2.8";"2";"7";"959";"1";"156";"63";"125";"0";"230";"0";"2300";"0";"0";"0"
"0";"1";"3.1";"2";"7";"1164";"0";"145";"52";"138";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"3.4";"2";"7";"1164";"0";"145";"52";"138";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"3.7";"2";"7";"1164";"1";"145";"52";"138";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"4.0";"2";"7";"703";"0";"144";"7";"44";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"4.3";"2";"7";"1370";"0";"145";"67";"164";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"4.6";"2";"7";"1370";"1";"145";"67";"164";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"4.9";"2";"7";"1370";"0";"145";"67";"164";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"5.2";"2";"7";"911";"0";"145";"34";"86";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"5.5";"2";"7";"911";"0";"145";"34";"86";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"5.8";"2";"7";"911";"1";"145";"34";"86";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"6.1";"2";"7";"840";"0";"145";"27";"75";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"6.4";"2";"7";"840";"0";"145";"27";"75";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"6.7";"2";"7";"840";"0";"145";"27";"75";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"7.0";"2";"7";"1378";"1";"145";"58";"168";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"7.3";"2";"7";"1014";"0";"144";"41";"111";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"7.6";"2";"7";"1014";"0";"144";"41";"111";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"7.9";"2";"7";"1014";"1";"144";"41";"111";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"8.2";"2";"7";"1089";"0";"145";"43";"110";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"8.5";"2";"7";"1089";"0";"145";"43";"110";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"8.8";"2";"7";"1089";"1";"145";"43";"110";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"9.1";"2";"7";"2192";"0";"145";"143";"319";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"9.4";"2";"7";"2192";"1";"145";"143";"319";"0";"208";"0";"2080";"0";"0";"0"
"0";"1";"9.7";"2";"7";"2192";"0";"145";"143";"319";"0";"208";"0";"2080";"0";"0";"0"
"1";"0";"0.1";"2";"7";"3469";"2";"150";"635";"1286";"8";"244";"69";"2509";"0";"0";"0"
"1";"0";"0.4";"2";"7";"1242";"0";"147";"136";"292";"10";"223";"9";"2266";"0";"0";"0"
"1";"0";"0.7";"2";"7";"1001";"0";"150";"107";"195";"9";"223";"8";"2286";"0";"0";"0"
"1";"0";"1.0";"2";"7";"848";"1";"149";"25";"110";"28";"231";"2";"2330";"0";"0";"0"
"1";"0";"1.3";"2";"7";"1029";"0";"160";"81";"155";"29";"293";"5";"2995";"0";"0";"0"
"1";"0";"1.6";"2";"7";"961";"0";"146";"40";"120";"21";"223";"8";"2358";"0";"0";"0"
"1";"0";"1.9";"2";"7";"928";"1";"146";"38";"101";"20";"223";"8";"2382";"0";"0";"0"
"1";"0";"2.2";"2";"7";"738";"0";"161";"23";"54";"15";"230";"1";"2322";"0";"0";"0"
"1";"0";"2.5";"2";"7";"738";"0";"161";"23";"54";"15";"230";"1";"2325";"0";"0";"0"
"1";"0";"2.8";"2";"7";"999";"0";"161";"54";"113";"19";"230";"1";"2328";"0";"0";"0"
"1";"0";"3.1";"2";"7";"798";"1";"151";"19";"49";"41";"208";"1";"2111";"0";"0";"0"
"1";"0";"3.4";"2";"7";"798";"0";"151";"19";"49";"41";"208";"1";"2114";"0";"0";"0"
"1";"0";"3.7";"2";"7";"798";"0";"151";"19";"49";"41";"208";"1";"2117";"0";"0";"0"
"1";"0";"4.0";"2";"7";"1366";"0";"149";"62";"163";"37";"208";"1";"2120";"0";"0";"0"
"1";"0";"4.3";"2";"7";"907";"0";"151";"21";"67";"38";"208";"1";"2123";"0";"0";"0"
"1";"0";"4.6";"2";"7";"907";"0";"151";"21";"67";"38";"208";"1";"2126";"0";"0";"0"
"1";"0";"4.9";"2";"7";"907";"0";"151";"21";"67";"38";"208";"1";"2129";"0";"0";"0"
"1";"0";"5.2";"2";"7";"851";"1";"152";"14";"54";"41";"208";"1";"2132";"0";"0";"0"
"1";"0";"5.5";"2";"7";"851";"0";"152";"14";"54";"41";"208";"1";"2135";"0";"0";"0"
"1";"0";"5.8";"2";"7";"851";"0";"152";"14";"54";"41";"208";"1";"2138";"0";"0";"0"
"1";"0";"6.1";"2";"7";"994";"0";"148";"5";"69";"40";"208";"1";"2141";"0";"0";"0"
"1";"0";"6.4";"2";"7";"994";"1";"148";"5";"69";"40";"208";"1";"2144";"0";"0";"0"
"1";"0";"6.7";"2";"7";"994";"0";"148";"5";"69";"40";"208";"1";"2147";"0";"0";"0"
"1";"0";"7.0";"2";"7";"977";"0";"148";"15";"69";"38";"208";"1";"2150";"0";"0";"0"
"1";"0";"7.3";"2";"7";"1143";"0";"148";"17";"85";"41";"208";"1";"2153";"0";"0";"0"
"1";"0";"7.6";"2";"7";"1143";"0";"148";"17";"85";"41";"208";"1";"2156";"0";"0";"0"
"1";"0";"7.9";"2";"7";"1143";"0";"148";"17";"85";"41";"208";"1";"2159";"0";"0";"0"
"1";"0";"8.2";"2";"7";"1213";"1";"150";"42";"102";"37";"208";"1";"2162";"0";"0";"0"
"1";"0";"8.5";"2";"7";"1213";"0";"150";"42";"102";"37";"208";"1";"2165";"0";"0";"0"
"1";"0";"8.8";"2";"7";"1213";"0";"150";"42";"102";"37";"208";"1";"2168";"0";"0";"0"
"1";"0";"9.1";"2";"7";"1268";"1";"150";"16";"85";"41";"208";"1";"2171";"0";"0";"0"
"1";"0";"9.4";"2";"7";"1268";"0";"150";"16";"85";"41";"208";"1";"2174";"0";"0";"0"
"1";"0";"9.7";"2";"7";"1268";"0";"150";"16";"85";"41";"208";"1";"2177";"0";"0";"0"
"1";"1";"dynamic";"2";"7";"1066";"1";"157";"52";"123";"9";"230";"0";"2300";"0";"0";"0"
"1";"1";"0.1";"2";"7";"4700";"2";"147";"1020";"1888";"1";"244";"0";"2440";"0";"0";"0"
"1";"1";"0.4";"2";"7";"1671";"0";"146";"217";"445";"3";"223";"0";"2230";"0";"0";"0"
"1";"1";"0.7";"2";"7";"1336";"1";"147";"147";"292";"2";"223";"0";"2230";"0";"0";"0"
"1";"1";"1.0";"2";"7";"788";"0";"148";"30";"111";"2";"231";"0";"2310";"0";"0";"0"
"1";"1";"1.3";"2";"7";"985";"0";"157";"68";"145";"4";"293";"0";"2930";"0";"0";"0"
"1";"1";"1.6";"2";"7";"1052";"1";"144";"68";"151";"8";"223";"0";"2230";"0";"0";"0"
"1";"1";"1.9";"2";"7";"1160";"0";"144";"76";"170";"8";"223";"0";"2230";"0";"0";"0"
"1";"1";"2.2";"2";"7";"1067";"0";"157";"53";"124";"9";"230";"0";"2300";"0";"0";"0"
"1";"1";"2.5";"2";"7";"858";"1";"157";"47";"96";"9";"230";"0";"2300";"0";"0";"0"
"1";"1";"2.8";"2";"7";"834";"0";"157";"42";"87";"9";"230";"0";"2300";"0";"0";"0"
"1";"1";"3.1";"2";"7";"715";"0";"146";"14";"49";"11";"208";"0";"2080";"0";"0";"0"
"1";"1";"3.4";"2";"7";"715";"0";"146";"14";"49";"11";"208";"0";"2080";"0";"0";"0"
"1";"1";"3.7";"2";"7";"711";"0";"146";"16";"48";"11";"208";"0";"2080";"0";"0";"0"
"1";"1";"4.0";"2";"7";"1057";"1";"146";"31";"108";"11";"208";"0";"2080";"0";"0";"0"
"1";"1";"4.3";"2";"7";"1034";"0";"147";"45";"108";"12";"208";"0";"2080";"0";"0";"0"
